points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME_x,Start_Year_x,Age,Name_Year,File_Name,TEAM,SALARY,POSITION
13.39,-0.33,39,1469.58,42.08,40.92,88.96,0.46,2.64,1.51,0.67,0.55,0.88,2.09,8.81,Carmelo Anthony,2020,36,Carmelo Anthony@@@2021,2020-2021_anthoca01_regular_season_box_scores.csv,Los Angeles Lakers,"$1,669,178",PF
11.68,1.64,35,1520.09,43.38,38.1,90.38,0.53,4.14,1.53,0.42,0.18,0.58,1.41,8.92,Danilo Gallinari,2021,34,Danilo Gallinari@@@2022,2021-2022_gallida01_regular_season_box_scores.csv,Boston Celtics,"$6,479,000",PF
19.07,5.36,36,1955.62,55.69,0.0,75.29,2.45,7.62,3.39,1.43,0.79,2.64,3.05,16.75,Bam Adebayo,2021,25,Bam Adebayo@@@2022,2021-2022_adebaba01_regular_season_box_scores.csv,Miami Heat,"$30,351,780",C
19.28,2.16,22,1910.65,42.01,35.98,89.93,0.37,3.58,4.93,1.12,0.28,2.05,1.42,14.26,Kemba Walker,2020,24,Kemba Walker@@@2021,2020-2021_walkeke02_regular_season_box_scores.csv,New York Knicks,"$8,729,020",PG
20.8,-8.6,1,1671.8,40.24,24.49,100.0,0.8,4.4,6.6,1.0,0.4,3.2,2.2,15.66,Stephen Curry,2019,31,Stephen Curry@@@2020,2019-2020_curryst01_regular_season_box_scores.csv,Golden State Warriors,"$43,006,362",PG
12.07,-4.67,15,1800.3,44.03,41.38,86.13,0.73,3.05,2.06,1.01,0.24,1.5,2.96,7.89,Khris Middleton,2013,24,Khris Middleton@@@2014,2013-2014_middlkh01_regular_season_box_scores.csv,Milwaukee Bucks,"$915,243",SF
12.62,4.0,53,1652.55,48.34,36.03,79.66,1.03,5.26,0.82,0.38,1.3,1.18,2.75,9.14,Serge Ibaka,2017,26,Serge Ibaka@@@2018,2017-2018_ibakase01_regular_season_box_scores.csv,Toronto Raptors,"$21,666,667",F
9.48,-0.83,37,1436.9,39.88,33.74,86.83,0.24,1.72,4.3,0.6,0.04,1.77,1.13,7.18,D.J. Augustin,2014,29,D.J. Augustin@@@2015,2014-2015_augusdj01_regular_season_box_scores.csv,Denver Nuggets,"$3,000,000",G
16.23,3.93,50,1858.77,40.55,37.22,84.0,0.39,2.29,2.51,0.64,0.55,1.61,2.0,10.11,Eric Gordon,2016,27,Eric Gordon@@@2017,2016-2017_gordoer01_regular_season_box_scores.csv,Houston Rockets,"$12,943,020",SG
10.64,4.34,43,1335.36,43.05,39.3,81.2,2.02,3.53,0.81,0.47,0.59,0.77,2.14,8.48,Ryan Anderson,2010,19,Ryan Anderson@@@2011,2010-2011_anderry01_regular_season_box_scores.csv,Orlando Magic,"$2,244,601",PF
